,Project/Repository Group,BF,BF%,Bus/Elephant Factor Users,Oth. #,Oth. %,Top 10 %,Top Users,Rem. #,Rem. %,level
132,Porter,3,60.0,"carolynvs, troy0820, Arhell",27,40.0,86.67,"carolynvs, troy0820, Arhell, VinozzZ, schristoff, sgettys, alekseybb197, itsaviral2609, bdegeeter, ludfjig",20,13.33,Sandbox
133,Pravega,9,52.71,"anju-c-das, shshashwat, RaulGracia, Amit-Singh40, sachin-j-joshi, derekm, anishakj, AnkurAnand11, Bhupender-Y",44,47.29,57.75,"anju-c-das, shshashwat, RaulGracia, Amit-Singh40, sachin-j-joshi, derekm, anishakj, AnkurAnand11, Bhupender-Y, fyang86",43,42.25,Sandbox
134,Prometheus,49,50.04,"SuperQ, roidelapluie, bboreham, codesome, beorn7, dhoard, bwplotka, mmorel-35, simonpasquier, kakkoyun",491,49.96,29.14,"SuperQ, roidelapluie, bboreham, codesome, beorn7, dhoard, bwplotka, mmorel-35, simonpasquier, kakkoyun",530,70.86,Graduated
135,Rook,4,50.49,"subhamkrai, travisn, parth-gr, BlaineEXE",89,49.51,66.86,"subhamkrai, travisn, parth-gr, BlaineEXE, Madhu-1, satoru-takeuchi, sp98, thotz, Rakshith-R, galexrt",83,33.14,Graduated
136,SchemaHero,2,61.54,"divolgin, scpcy",5,38.46,100.0,"divolgin, scpcy, Alegrowin, cbodonnell, ishaankalra, marccampbell, verbotenj",0,0.0,Sandbox
137,sealer,2,54.34,"kakaZhou719, Stevent-fei",21,45.66,86.42,"kakaZhou719, Stevent-fei, zhy76, VinceCui, Starnop, cubxxw, jsparter, wizardlyk, YTGhost, justadogistaken",13,13.58,Sandbox
138,Serverless Devs,2,57.14,"xsahxl, wss-git",7,42.86,100.0,"xsahxl, wss-git, heimanba, g-fengchen, mahuipengf, XZYW, zy-linn, litongjava, piaolingxue",0,0.0,Sandbox
139,Serverless Workflow,4,51.82,"lsytj0413, spolti, cdavernas, JBBianchi",26,48.18,76.64,"lsytj0413, spolti, cdavernas, JBBianchi, ricardozanini, fjtirado, ribeiromiranda, brlala, antmendoza, davideduma",20,23.36,Sandbox
140,Service Mesh Performance,5,52.17,"asubedy, theBeginner86, ayushthe1, SumantxD, UtkarshMishra12",11,47.83,73.91,"asubedy, theBeginner86, ayushthe1, SumantxD, UtkarshMishra12, mayurjadhav2002, MrBehl06, MUzairS15, neeraj-2, Rahilsiddique",6,26.09,Sandbox
141,Skooner,4,66.67,"tianni4104, yurymuski, heresandyboy, RamboRogers",2,33.33,100.0,"tianni4104, yurymuski, heresandyboy, RamboRogers, pcgeek86, zsizsik",0,0.0,Sandbox
142,SlimToolkit,3,50.98,"iximiuz, Omkar0114, mritunjaysharma394",21,49.02,72.55,"iximiuz, Omkar0114, mritunjaysharma394, testwill, 645775992, BMDan, slimdevl, notemptylist, pen4, shikharvashistha",14,27.45,Sandbox
143,SMI,1,100.0,chase-kiefer,0,0.0,100.0,chase-kiefer,0,0.0,Sandbox
144,SOPS,8,52.17,"hiddeco, sethiyash, felixfontein, dpc, eraac, chncaption, holiman, hramberger",11,47.83,60.87,"hiddeco, sethiyash, felixfontein, dpc, eraac, chncaption, holiman, hramberger, junaid18183, mavimo",9,39.13,Sandbox
145,SPIFFE,3,53.45,"kfox1111, marcofranssen, mrsabath",49,46.55,76.73,"kfox1111, marcofranssen, mrsabath, faisal-memon, maia-iyer, drewwells, maxlambrecht, azdagron, mamy-CS, Aura6",42,23.27,Graduated
146,SPIRE,5,56.16,"guilhermocc, rturner3, azdagron, amartinezfayo, MarcosDY",42,43.84,77.17,"guilhermocc, rturner3, azdagron, amartinezfayo, MarcosDY, marcofranssen, keeganwitt, faisal-memon, sorindumitru, hiyosi",37,22.83,Graduated
147,Strimzi,3,50.55,"scholzj, ppatierno, im-konge",91,49.45,73.46,"scholzj, ppatierno, im-konge, PaulRMellor, see-quick, fvaleri, ShubhamRwt, jankalinic, Frawless, OwenCorrigan76",84,26.54,Sandbox
148,Submariner,3,57.54,"skitt, tpantelis, dfarrell07",28,42.46,95.98,"skitt, tpantelis, dfarrell07, sridhargaddam, mkolesnik, Jaanki, maayanf24, aswinsuryan, yboaron, vthapar",21,4.02,Sandbox
149,SuperEdge,1,52.94,00pf00,5,47.06,100.0,"00pf00, malc0lm, MoonWL, ahmedwaleedmalik, zizhuoy, guoguodan",0,0.0,Sandbox
150,Telepresence,2,51.91,"thallgren, njayp",31,48.09,80.15,"thallgren, njayp, josecv, aosoriodw, knlambert, raphaelreyna, rhs, sarabrajsingh, shepz, xzhang-brex",23,19.85,Sandbox
151,Teller,4,61.11,"jkawamoto, kaplanelad, Rajpratik71, mustafayildirim",7,38.89,94.44,"jkawamoto, kaplanelad, Rajpratik71, mustafayildirim, ingara, vjeantet, kevbook, magdyamr542, JacobJohansen, danielr18",1,5.56,Sandbox
152,Thanos,10,50.47,"fpetkovski, yeya24, GiedriusS, matej-g, douglascamata, MichaHoffmann, saswatamcode, rabenhorst, bwplotka, pedro-stanaka",124,49.53,50.47,"fpetkovski, yeya24, GiedriusS, matej-g, douglascamata, MichaHoffmann, saswatamcode, rabenhorst, bwplotka, pedro-stanaka",124,49.53,Incubating
153,TiKV,12,50.11,"rleungx, lhy1024, JmPotato, tabokie, bufferflies, SpadeA-Tang, BusyJay, binshi-bing, HuSharp, nolouch",181,49.89,45.18,"rleungx, lhy1024, JmPotato, tabokie, bufferflies, SpadeA-Tang, BusyJay, binshi-bing, HuSharp, nolouch",183,54.82,Graduated
154,Tinkerbell,2,71.28,"chrisdoherty4, jacobweinstock",40,28.72,87.5,"chrisdoherty4, jacobweinstock, fintelia, tinkerbot, moadqassem, pokearu, joelrebel, mmlb, yeahdongcn, nshalman",32,12.5,Sandbox
155,Tremor,2,69.92,"Licenser, mfelsche",15,30.08,93.98,"Licenser, mfelsche, Agares, skoech, marianoguerra, darach, 0xquark, ekarlso, ThomasArts, marioortizmanero",7,6.02,Sandbox
156,Trickster,1,56.25,jakenichols2719,4,43.75,100.0,"jakenichols2719, jranson, paragor, samuelgmartinez, SuperQ",0,0.0,Sandbox
157,TUF,5,53.73,"jku, lukpueh, fridex, mnm678, joshuagl",41,46.27,65.67,"jku, lukpueh, fridex, mnm678, joshuagl, rdimitrov, bdehamer, znewman01, asraa, shabeebk",36,34.33,Graduated
158,Vineyard,1,52.61,sighingnow,17,47.39,96.73,"sighingnow, dashanji, vegetableysm, siyuan0322, songqing, acezen, zhuyi1159, wuyueandrew, septicmk, husimplicity",8,3.27,Sandbox
159,Virtual Kubelet,1,53.95,helayoty,30,46.05,86.18,"helayoty, smritidahal653, nidhunge, fnuarnav, cpuguy83, hypnoce, aka-somix, pvashisht888, sanchitmehta, zhenqxuMSFT",21,13.82,Sandbox
160,Vitess,5,52.37,"frouioui, GuptaManan100, shlomi-noach, mattlord, dbussink",111,47.63,77.41,"frouioui, GuptaManan100, shlomi-noach, mattlord, dbussink, harshit-gangal, systay, ajm188, rsajwani, rohit-nayak-ps",106,22.59,Graduated
161,Volcano,8,52.87,"wangyang0616, lowang-bh, waiterQ, jiangkaihua, archlitchi, Shoothzj, jinzhejz, hwdef",68,47.13,59.85,"wangyang0616, lowang-bh, waiterQ, jiangkaihua, archlitchi, Shoothzj, jinzhejz, hwdef, elinx, zbbkeepgoing",66,40.15,Incubating
162,VS Code Kubernetes Tools,4,54.55,"carljmosca, cloorc, a544jh, aceat64",5,45.45,100.0,"carljmosca, cloorc, a544jh, aceat64, jamesorlakin, juozasg, lstocchi, shikharcodes, Tatsinnit",0,0.0,Sandbox
163,wasmCloud,5,56.04,"brooksmtownsend, vados-cosmonic, connorsmith256, rvolosatovs, autodidaddict",32,43.96,82.13,"brooksmtownsend, vados-cosmonic, connorsmith256, rvolosatovs, autodidaddict, thomastaylor312, stevelr, mattwilkinsonn, jordan-rash, ricochet",27,17.87,Sandbox
164,WasmEdge Runtime,5,52.4,"apepkuss, hydai, q82419, adithyaakrishna, ibmibmibm",84,47.6,64.65,"apepkuss, hydai, q82419, adithyaakrishna, ibmibmibm, harry900831, little-willy, SAtacker, dannypsnl, alabulei1",79,35.35,Sandbox
165,werf,1,56.36,flant-team-sysdev,13,43.64,97.58,"flant-team-sysdev, distorhead, alexey-igrychev, ilya-lesikov, Zhbert, diafour, z9r5, chenrui333, gyrter, ToyTox",4,2.42,Sandbox
166,Xline,2,53.4,"Phoenix500526, themanforfree",7,46.6,100.0,"Phoenix500526, themanforfree, bsbds, markcty, iGxnon, liangyuanpeng, EAimTY, myrfy001, liubog2008",0,0.0,Sandbox
167,zot,4,61.58,"rchincha, raulkele, andaaron, peusebiu",28,38.42,88.51,"rchincha, raulkele, andaaron, peusebiu, laurentiuNiculae, ameliamariabreda, aokirisaki, nicoldr, alexstan12, chofnar",22,11.49,Sandbox
